587410,754767,983772,643513,415572,327832,989019,243495,427418,811145
335048,820326,186077,736946,737261,620123,437803,202942,93774,577058
784937,265874,778957,545528,845063,25927,42747,412202,310567,285203
74584,268334,422973,423774,509742,556052,660726,669638,750963,788630
83364,868523,750446,797982,321093,684304,929941,515963,424234,141109
740237,597578,429833,339508,273530,263553,232218,145644,66159,28590
331105,397607,286894,197734,654577,448013,837477,196694,970184,560349
164346,968377,258138,402191,836344,65792,857349,174200,873513,318798
653283,200032,300944,772545,470125,967936,430312,916543,975003,830474
62121,612465,711622,573711,814385,961809,846463,978341,952403,593779
